player,probability,a1,a2,a3,a4,a5,a6
defender,0.00751089,0,11,9,5,8,3
defender,0.00741411,9,6,1,10,3,7
defender,0.00697386,1,6,7,3,10,9
defender,0.00676586,6,1,2,11,12,4
defender,0.00662223,4,8,8,1,8,7
defender,0.00608839,4,2,11,6,11,2
defender,0.00552572,5,2,3,9,11,6
defender,0.0055239,9,8,12,1,4,2
defender,0.00513211,8,10,12,2,2,2
defender,0.00498367,1,4,11,12,0,8
defender,0.00472659,10,5,10,1,7,3
defender,0.00417036,4,1,9,5,8,9
defender,0.00294579,4,6,5,2,9,10
defender,0.00225287,2,0,12,10,4,8
defender,0.0014177,1,9,5,12,4,5
defender,0.00133068,5,7,1,1,10,12
defender,0.00131444,10,7,2,6,3,8
defender,0.00094644,11,6,5,9,0,5
defender,0.00088699,5,11,9,9,1,1
defender,0.00014307,11,7,4,6,2,6
defender,4.189e-05,7,3,1,13,1,11
defender,1.241e-05,4,13,7,9,3,0
defender,7.95e-06,0,0,7,3,20,6
defender,7.03e-06,12,4,2,3,14,1
defender,3.08e-06,2,9,7,0,13,5
defender,1.38e-06,5,1,7,5,17,1
