player,probability,a1,a2,a3,a4,a5,a6
attacker,0.01815909,22,0,39,21,29,9
attacker,0.0170577,9,37,20,34,7,13
attacker,0.01698687,5,40,25,40,5,5
attacker,0.01489527,36,30,7,4,18,25
attacker,0.01347292,37,17,32,28,3,3
attacker,0.01307979,14,16,6,16,37,31
attacker,0.0129416,25,29,5,20,19,22
attacker,0.01261964,13,19,39,14,15,20
attacker,0.01257902,40,10,8,5,39,18
attacker,0.01171438,17,5,16,36,40,6
attacker,0.01170499,24,36,27,3,20,10
attacker,0.01150274,31,39,21,8,19,2
attacker,0.01124968,4,2,31,37,17,29
attacker,0.0112198,2,35,13,39,27,4
attacker,0.01118166,35,23,9,25,13,15
attacker,0.01085583,38,3,17,32,29,1
attacker,0.0106419,34,5,3,35,24,19
attacker,0.01053642,16,9,37,6,13,39
attacker,0.01051724,15,25,0,31,9,40
attacker,0.01025111,32,22,27,30,9,0
attacker,0.01019238,12,4,22,38,22,22
attacker,0.01011572,11,33,23,9,31,13
attacker,0.01002051,20,37,2,37,16,8
attacker,0.00996268,0,32,32,11,26,19
attacker,0.00988871,15,7,34,32,0,32
attacker,0.00970494,0,21,25,22,28,24
attacker,0.0096874,2,35,23,35,4,21
attacker,0.00961903,30,12,30,15,21,12
attacker,0.00956002,36,11,19,18,0,36
attacker,0.00955703,8,39,33,10,13,17
attacker,0.00915838,38,23,15,33,7,4
attacker,0.00914471,33,19,14,2,27,25
attacker,0.00907116,31,0,21,18,23,27
attacker,0.00898096,18,13,23,30,3,33
attacker,0.00887272,14,7,27,13,22,37
attacker,0.00865453,11,13,29,22,34,11
attacker,0.00860462,23,15,9,8,31,34
attacker,0.00847675,25,39,17,13,6,20
attacker,0.00827954,7,7,28,20,22,36
attacker,0.00826188,18,9,11,39,36,7
attacker,0.00807742,5,28,37,11,11,28
attacker,0.00802975,10,31,37,12,2,28
attacker,0.00793255,7,17,25,6,39,26
attacker,0.0076418,23,36,35,10,8,8
attacker,0.00762346,35,2,10,39,32,2
attacker,0.00754532,1,22,1,26,35,35
attacker,0.00747277,24,8,4,19,36,29
attacker,0.00744571,29,25,11,27,17,11
