player,probability,a1,a2,a3,a4,a5,a6
attacker,0.00726662,27,20,29,1,35,8
attacker,0.00714666,40,3,14,17,40,6
attacker,0.00701823,6,31,38,4,35,6
attacker,0.00699952,3,34,28,15,33,7
attacker,0.00697662,29,26,24,7,8,26
attacker,0.00697493,1,1,40,23,25,30
attacker,0.00696992,26,27,0,20,32,15
attacker,0.00692997,3,3,36,16,38,24
attacker,0.00670909,40,29,2,12,6,31
attacker,0.00669936,32,12,16,24,1,35
attacker,0.00668354,16,4,18,22,24,36
attacker,0.00664738,21,2,12,23,24,38
attacker,0.00664546,38,8,16,2,26,30
attacker,0.00655311,3,38,3,1,36,39
attacker,0.00651294,10,10,22,29,10,39
attacker,0.00637354,28,11,35,24,11,11
attacker,0.00636338,2,21,38,2,23,34
attacker,0.00630164,19,6,0,24,34,37
attacker,0.00629969,27,1,28,16,30,18
attacker,0.00623475,21,7,15,39,5,33
attacker,0.00615907,26,15,18,13,30,18
attacker,0.00610877,27,23,4,6,37,23
attacker,0.0060351,23,4,15,29,21,28
attacker,0.00603062,19,30,5,11,15,40
attacker,0.00600264,11,14,31,31,30,3
attacker,0.005969,39,34,13,18,16,0
attacker,0.00582284,9,20,5,25,38,23
attacker,0.00537395,39,21,33,12,14,1
attacker,0.00532136,20,25,12,26,14,23
attacker,0.00527002,11,27,11,12,25,34
attacker,0.00522962,31,26,6,14,33,10
attacker,0.00522953,21,39,18,4,32,6
attacker,0.0052162,21,31,11,9,27,21
attacker,0.00520929,28,38,10,27,1,16
attacker,0.00519252,19,35,15,0,34,17
attacker,0.00513999,4,26,4,33,37,16
attacker,0.00512132,39,24,12,32,10,3
attacker,0.00505385,17,15,36,25,11,16
attacker,0.0049767,1,37,6,38,37,1
attacker,0.00497162,19,24,1,15,28,33
attacker,0.00495353,12,33,34,2,25,14
attacker,0.00487384,8,27,20,29,4,32
attacker,0.00476853,6,26,34,36,2,16
attacker,0.00476785,7,18,18,27,33,17
attacker,0.00470254,9,18,12,26,20,35
attacker,0.00462908,9,18,36,37,11,9
attacker,0.00456803,38,29,7,14,5,27
attacker,0.00450321,29,28,12,19,17,15
attacker,0.00447159,4,33,10,32,2,39
attacker,0.00447051,17,9,29,35,17,13
attacker,0.00443911,33,10,2,27,10,38
attacker,0.00443685,28,8,33,18,12,21
attacker,0.00438143,6,12,19,9,39,35
attacker,0.00437958,5,19,29,31,9,27
attacker,0.00425868,26,14,26,30,10,14
attacker,0.00425165,26,22,30,17,1,24
attacker,0.00425058,34,5,34,0,18,29
attacker,0.00420192,33,21,1,22,31,12
attacker,0.00415237,34,19,31,7,2,27
attacker,0.00413408,13,17,39,5,26,20
attacker,0.00409609,35,28,14,0,25,18
attacker,0.00395464,33,33,19,8,6,21
attacker,0.00389625,30,18,24,17,9,22
attacker,0.00388748,21,31,29,4,4,31
attacker,0.00378048,22,28,24,5,12,29
attacker,0.00372579,3,33,25,19,8,32
attacker,0.00366938,20,13,22,35,15,15
attacker,0.00358519,37,15,21,28,12,7
attacker,0.00345073,16,35,8,0,21,40
attacker,0.00343139,29,1,33,22,1,34
attacker,0.00341889,28,14,9,3,33,33
attacker,0.00341711,31,24,39,1,21,4
attacker,0.00340607,35,19,3,7,39,17
attacker,0.00338176,39,14,36,17,12,2
attacker,0.00334943,19,6,2,38,29,26
attacker,0.0033339,27,22,9,10,15,37
attacker,0.0033268,6,32,10,28,34,10
attacker,0.00329476,20,15,7,0,39,39
attacker,0.0031978,8,32,17,29,11,23
attacker,0.00312231,7,29,21,33,15,15
attacker,0.00308432,31,11,0,8,32,38
attacker,0.00306585,25,27,2,27,2,37
attacker,0.00303432,26,16,30,30,7,11
attacker,0.00298256,14,25,19,23,2,37
attacker,0.00298121,17,34,18,1,19,31
attacker,0.0028639,10,25,13,25,17,30
attacker,0.00281487,18,16,35,36,14,1
attacker,0.00280845,30,13,3,28,20,26
attacker,0.00279775,13,34,4,19,24,26
attacker,0.00274535,15,19,33,27,0,26
attacker,0.00269919,28,11,36,7,23,15
attacker,0.00263874,33,32,1,1,39,14
attacker,0.00261105,15,27,29,24,25,0
attacker,0.00259786,17,13,0,26,34,30
attacker,0.00257841,12,6,35,17,37,13
attacker,0.00245502,1,30,26,14,11,38
attacker,0.00243989,29,12,26,22,26,5
attacker,0.00236601,8,2,31,40,35,4
attacker,0.00233461,11,6,40,6,18,39
attacker,0.002332,24,11,5,34,13,33
attacker,0.00232264,36,14,30,1,39,0
attacker,0.00221788,34,24,36,9,16,1
attacker,0.00216829,23,6,9,37,32,13
attacker,0.00205335,24,27,19,7,15,28
attacker,0.00202043,26,20,37,3,20,14
attacker,0.00191702,12,10,13,23,31,31
attacker,0.00182419,37,33,2,34,4,10
attacker,0.00168268,14,16,8,25,34,23
attacker,0.00159514,28,9,7,35,28,13
attacker,0.00158055,19,38,34,9,9,11
attacker,0.00146966,33,24,16,11,4,32
attacker,0.0014407,29,7,38,24,5,17
attacker,0.0014291,33,1,19,33,25,9
attacker,0.00136898,14,35,35,4,8,24
attacker,0.00131348,6,14,14,29,20,37
attacker,0.0013132,40,15,7,34,0,24
attacker,0.0012854,29,31,8,1,14,37
attacker,0.00113429,7,38,38,8,24,5
attacker,0.00103422,32,24,1,26,26,11
attacker,0.00099769,34,1,26,34,22,3
attacker,0.00098887,16,17,37,11,30,9
attacker,0.00088272,14,28,37,7,1,33
attacker,0.00068932,4,37,6,10,26,37
attacker,0.00064124,22,28,7,7,28,28
attacker,0.00064081,31,23,17,27,3,19
attacker,0.00058459,30,16,32,30,1,11
attacker,0.0005811,1,24,30,25,32,8
attacker,0.00056114,18,27,8,11,28,28
attacker,0.00048221,23,13,21,14,19,30
attacker,0.00041678,7,13,27,24,15,34
attacker,0.00037989,18,18,20,28,31,5
attacker,0.00027216,31,25,16,14,3,31
attacker,0.00021926,13,13,23,39,7,25
attacker,0.00017653,32,0,0,39,19,30
attacker,0.00013461,34,24,9,22,24,7
attacker,0.00010001,31,40,40,2,4,3
attacker,9.215e-05,10,8,4,38,33,27
attacker,7.879e-05,0,34,23,20,12,31
attacker,7.604e-05,19,10,34,31,6,20
attacker,7.438e-05,20,33,35,2,15,15
attacker,7.309e-05,11,34,21,25,26,3
attacker,5.005e-05,13,6,36,35,19,11
attacker,4.734e-05,13,29,34,12,7,25
attacker,4.587e-05,22,7,22,30,35,4
attacker,4.029e-05,10,22,24,21,39,4
attacker,3.999e-05,22,8,20,9,27,34
attacker,3.623e-05,22,14,22,22,1,39
attacker,3.489e-05,11,37,30,18,12,12
attacker,3.279e-05,21,4,36,40,9,10
attacker,3.125e-05,23,2,23,26,10,36
attacker,2.442e-05,28,1,9,17,27,38
attacker,2.025e-05,13,15,11,25,41,15
attacker,1.987e-05,1,3,36,24,24,32
attacker,1.92e-05,0,11,35,3,43,28
attacker,1.865e-05,32,16,31,21,18,2
attacker,1.839e-05,17,29,23,12,30,9
attacker,1.579e-05,21,13,17,32,34,3
attacker,1.574e-05,1,36,11,39,1,32
attacker,1.254e-05,2,43,32,10,12,21
attacker,1.067e-05,11,2,2,25,38,42
attacker,1.053e-05,15,5,35,34,3,28
attacker,1.035e-05,45,37,2,3,7,26
attacker,9.92e-06,17,32,41,22,6,2
attacker,9.11e-06,37,4,34,36,3,6
attacker,8.61e-06,17,7,43,7,28,18
attacker,7.68e-06,36,36,7,13,9,19
attacker,7.3e-06,11,1,53,28,22,5
attacker,6.19e-06,59,9,30,0,9,13
attacker,6.12e-06,25,11,2,2,36,44
attacker,5.55e-06,18,12,6,23,53,8
attacker,5.22e-06,37,24,1,11,33,14
attacker,4.64e-06,15,62,28,0,0,15
attacker,4.48e-06,14,1,35,19,27,24
attacker,3.16e-06,9,45,11,22,4,29
attacker,2.97e-06,26,1,26,29,35,3
attacker,1.76e-06,41,9,24,8,6,32
attacker,1.73e-06,0,6,42,37,0,35
attacker,1.71e-06,10,41,17,16,12,24
attacker,1.07e-06,3,0,29,19,5,64
defender,0.01668546,2,27,20,3,39,29
defender,0.01645389,30,28,34,7,11,10
defender,0.01652795,13,8,23,28,15,33
defender,0.01531647,23,15,17,15,24,26
defender,0.01375352,14,10,39,39,13,5
defender,0.01308785,5,3,24,35,21,32
defender,0.01278663,6,21,40,37,3,13
defender,0.01266184,8,5,14,40,34,19
defender,0.01235132,34,32,5,6,40,3
defender,0.0119281,35,10,25,17,12,21
defender,0.01183543,40,13,21,38,4,4
defender,0.01117103,15,19,6,21,36,23
defender,0.01105013,36,15,31,0,38,0
defender,0.01098595,11,17,15,25,27,25
defender,0.01094998,1,11,39,31,26,12
defender,0.01086929,0,9,38,26,32,15
defender,0.01079752,22,39,2,31,5,21
defender,0.01059098,34,30,32,14,1,9
defender,0.01021053,25,0,9,29,23,34
defender,0.00999783,29,19,7,21,17,27
defender,0.00995985,17,0,28,38,26,11
defender,0.0097525,37,31,8,9,33,2
defender,0.00915734,3,34,37,29,3,14
defender,0.00913845,28,1,33,19,32,7
defender,0.00903171,24,17,9,40,18,12
defender,0.00842101,7,22,13,22,20,36
defender,0.00813375,17,8,27,12,35,21
defender,0.00807993,33,38,19,17,7,6
defender,0.00806402,10,22,27,2,19,40
defender,0.0078558,31,40,0,25,17,7
defender,0.00776327,9,37,38,15,15,6
defender,0.00771782,27,37,35,4,0,17
defender,0.0076621,3,34,18,32,30,3
defender,0.00758558,0,30,0,34,25,31
defender,0.00756249,21,39,1,31,19,9
defender,0.00754389,26,40,4,1,21,28
defender,0.00748083,40,2,18,16,39,5
defender,0.00737034,19,4,30,11,21,35
defender,0.00729565,38,24,10,1,29,18
defender,0.00725629,20,18,30,29,1,22
defender,0.00724231,12,25,27,32,8,16
defender,0.00722861,39,6,4,13,23,35
defender,0.00718044,32,14,4,20,37,13
defender,0.0071497,4,37,36,9,10,24
defender,0.00699419,21,32,2,37,9,19
defender,0.00696532,38,29,12,18,8,15
defender,0.00694434,4,29,35,28,2,22
defender,0.00685269,35,26,16,5,2,36
defender,0.00684725,9,35,40,11,0,25
defender,0.00684642,24,24,26,2,5,39
defender,0.00674902,38,4,23,20,31,4
defender,0.00669034,4,33,12,23,13,35
defender,0.00662214,18,12,3,39,12,36
defender,0.00660309,23,35,10,13,9,30
defender,0.00657504,25,4,22,24,29,16
defender,0.00653165,29,1,1,36,14,39
defender,0.00651513,28,39,7,10,35,1
defender,0.00649628,14,20,33,18,6,29
defender,0.0064881,16,24,31,14,5,30
defender,0.00637672,20,23,10,10,29,28
defender,0.00631939,29,26,29,3,33,0
defender,0.00624551,22,16,1,27,28,26
defender,0.00620155,7,36,26,13,14,24
defender,0.00616794,31,14,24,7,10,34
defender,0.00610358,18,3,18,34,7,40
defender,0.00608973,37,18,7,23,2,33
defender,0.0060312,32,7,36,35,3,7
defender,0.00597935,39,6,14,5,16,40
defender,0.00597146,28,25,16,1,30,20
defender,0.00585975,15,6,0,23,39,37
defender,0.00573769,0,34,25,5,17,39
defender,0.00570204,1,31,22,4,35,27
defender,0.00566324,2,30,38,25,7,18
defender,0.00565008,10,2,2,30,37,39
defender,0.00560052,16,17,22,39,9,17
defender,0.00556304,12,38,35,27,4,4
defender,0.00553974,7,20,20,36,34,3
defender,0.0055365,10,33,3,37,31,6
defender,0.00541935,33,11,11,19,37,9
defender,0.00540617,2,2,37,36,29,14
defender,0.0054003,8,26,36,3,40,7
defender,0.00533277,16,1,31,33,28,11
defender,0.0053093,12,21,29,20,1,37
defender,0.00530727,36,12,36,5,30,1
defender,0.00524366,4,23,31,30,21,11
defender,0.00518917,16,35,25,15,6,23
defender,0.00517752,15,12,37,8,17,31
defender,0.00512146,12,33,8,12,38,17
defender,0.0050958,20,20,5,19,18,38
defender,0.00504243,11,29,15,5,23,37
defender,0.00501321,39,7,35,16,22,1
defender,0.00500058,6,23,15,22,31,23
defender,0.0049047,27,16,8,34,16,19
defender,0.00490348,39,7,5,20,11,38
defender,0.00477009,22,39,6,7,15,31
defender,0.00475653,2,3,11,33,34,37
defender,0.00473423,26,14,32,12,8,28
defender,0.00470154,21,6,19,27,13,34
defender,0.00466469,10,5,10,24,39,32
defender,0.00458952,6,28,33,26,5,22
defender,0.00455845,20,18,28,9,22,23
defender,0.00448872,5,35,33,0,27,20
defender,0.00445822,19,36,12,35,10,8
defender,0.00445127,19,5,1,30,27,38
defender,0.00445077,18,37,29,11,25,0
defender,0.00442046,33,12,21,10,27,17
defender,0.00439815,38,25,12,11,9,25
defender,0.00426573,37,16,14,12,14,27
defender,0.00424704,19,11,29,27,19,15
defender,0.004235,18,19,13,33,25,12
defender,0.00420108,8,13,3,35,31,30
defender,0.00418888,31,9,29,13,7,31
defender,0.00399241,33,13,17,22,25,10
defender,0.00397214,31,18,17,10,26,18
defender,0.00395104,32,5,25,8,33,17
defender,0.00390134,24,32,19,1,30,14
defender,0.00387175,33,25,30,9,15,8
defender,0.00385718,14,23,37,8,0,38
defender,0.00384099,28,36,21,8,3,24
defender,0.00383712,25,39,8,22,11,15
defender,0.00382595,27,14,26,22,6,25
defender,0.00376967,13,0,13,23,36,35
defender,0.00374993,9,28,25,2,28,28
defender,0.00366356,32,20,28,26,1,13
defender,0.00365859,11,34,11,33,22,9
defender,0.0036046,24,11,16,6,36,27
defender,0.00348874,30,36,3,27,6,18
defender,0.00345186,6,26,16,35,36,1
defender,0.00341325,26,22,11,31,20,10
defender,0.00338937,26,16,30,21,7,20
defender,0.00327515,15,33,16,32,19,5
defender,0.0032488,21,21,10,14,38,16
defender,0.00321989,35,27,12,24,20,2
defender,0.00320017,9,38,34,13,13,13
defender,0.00311036,27,9,20,0,25,39
defender,0.00307229,21,21,21,33,22,2
defender,0.00304609,18,27,6,30,8,31
defender,0.00295109,36,2,3,37,34,8
defender,0.00294316,13,26,19,19,36,7
defender,0.0029221,39,23,32,18,6,2
defender,0.00286517,6,29,13,24,28,20
defender,0.00285662,26,30,23,1,24,16
defender,0.00283266,27,21,4,16,22,30
defender,0.00275493,36,24,14,25,20,1
defender,0.0027257,40,36,0,17,0,27
defender,0.00269632,17,7,26,7,32,31
defender,0.00268499,16,31,2,18,16,37
defender,0.00267238,30,25,21,18,12,14
defender,0.0026654,8,16,29,33,9,25
defender,0.00265791,36,7,33,5,31,8
defender,0.00264721,25,36,13,9,17,20
defender,0.00259976,17,9,37,11,23,23
defender,0.00252278,22,1,18,34,37,8
defender,0.00246092,37,24,5,16,37,1
defender,0.00239123,23,40,11,3,10,33
defender,0.00234289,5,7,26,23,24,35
defender,0.00232828,11,13,9,26,24,37
defender,0.00224305,30,22,17,3,19,29
defender,0.00217501,3,12,6,24,37,38
defender,0.00214882,19,13,15,23,18,32
defender,0.00210601,26,38,28,17,11,0
defender,0.00202779,8,33,23,18,19,19
defender,0.00188665,37,33,12,1,18,19
defender,0.00186159,11,31,28,16,19,15
defender,0.00181164,32,8,32,13,34,1
defender,0.00176501,9,5,27,27,30,22
defender,0.001703,32,13,14,33,17,11
defender,0.00162456,31,2,19,8,32,28
defender,0.00161364,9,17,7,19,35,33
defender,0.00147638,35,4,6,39,28,8
defender,0.00141027,5,30,22,7,24,32
defender,0.00135116,27,10,9,33,33,8
defender,0.00119587,1,20,34,25,16,24
defender,0.00117649,25,27,7,15,29,17
defender,0.00100854,3,32,22,1,30,32
defender,0.00089927,27,2,7,15,34,35
defender,0.00088535,12,5,35,37,28,3
defender,0.0008724,19,20,39,6,24,12
defender,0.00077475,26,22,16,8,10,38
defender,0.00073744,10,32,22,18,12,26
defender,0.00070133,18,15,29,40,15,3
defender,0.00044744,32,9,31,5,35,8
defender,0.00044608,24,16,18,24,1,37
defender,0.00043991,35,28,16,4,27,10
defender,0.00034727,18,37,9,4,23,29
defender,0.00031681,31,28,18,6,5,32
defender,0.00022958,17,16,20,7,28,32
defender,0.00013123,13,38,20,6,25,18
defender,0.00013079,2,12,33,30,38,5
defender,0.00010777,13,7,5,36,22,37
defender,8.755e-05,5,32,7,27,37,12
defender,7.226e-05,33,24,4,18,8,33
defender,7.114e-05,23,17,32,21,20,7
defender,6.802e-05,13,34,19,2,19,33
defender,5.292e-05,36,33,11,20,6,14
defender,5.191e-05,1,27,35,14,4,39
defender,4.954e-05,34,35,9,11,11,20
defender,4.423e-05,29,33,11,19,11,17
defender,4.142e-05,21,0,34,17,23,25
defender,3.195e-05,7,21,32,25,17,18
defender,2.766e-05,7,10,16,25,28,34
defender,2.474e-05,32,19,36,8,22,3
defender,2.408e-05,28,22,32,1,26,11
defender,2.276e-05,29,31,5,13,42,0
defender,1.934e-05,26,0,2,25,19,48
defender,1.912e-05,12,8,43,28,19,10
defender,1.904e-05,33,29,20,15,18,5
defender,1.703e-05,17,11,9,34,11,38
defender,1.429e-05,7,29,29,11,33,11
defender,1.322e-05,10,41,39,10,4,16
defender,1.068e-05,49,6,19,23,23,0
defender,1.048e-05,44,21,13,7,32,3
defender,1.031e-05,18,21,26,19,12,24
defender,6.28e-06,29,37,32,10,2,10
defender,5.63e-06,3,3,13,11,50,40
defender,5.62e-06,35,16,9,23,36,1
defender,5.59e-06,24,36,5,33,8,14
defender,5.46e-06,25,34,14,5,27,15
defender,5.08e-06,15,13,45,11,27,9
defender,4.05e-06,10,11,51,18,23,7
defender,3.53e-06,7,7,25,51,13,17
defender,3.29e-06,34,26,29,1,18,12
defender,2.46e-06,53,38,0,13,0,16
defender,2.28e-06,0,20,17,0,40,43
defender,2.14e-06,18,46,5,24,0,27
defender,1.61e-06,16,33,33,16,6,16
defender,1.34e-06,19,2,42,28,23,6
defender,1.32e-06,24,23,0,17,20,36
defender,1.04e-06,8,20,41,11,31,9
